name_th;name;description
อิชิตัน;Ichitan;
เย็นเย็น;Yen Yen;
โออิชิ;Oishi;
น้ำทิพย์;Nam Thip;
คริสตัล;Cristal;
เพียว;Pure;
สิงห์;Singha;
มรกต;Emerald;
หยก;Yok;
ดัชมิลค์;Dutchmill;
แลคตาซอย;Lactasoy;
ดีน่า;Dna;
แม็กกี้;Maggi;
โรซ่า;Rosa;
ฉั่วฮะเส็ง;Chuahahseng;
เด็กสมบูรณ์;Deksoomboon;
ภูเขาทอง;Goldenmountain;
ทิพรส;Tiparos;
หอยนางรม;Oyster;
แม่ประนอม;Maepranom;
ถ้วยแดง;Ajinomoto;
รสดี;Rosdee;
ชาวเกาะ;Chaokoh;
อร่อยดี;Aroy-D;
มิตรผล;Mitrphol;
สามแม่ครัว;;
คนอร์;Kanor;
กุ๊ก;Kook;
ปรุงทิพย์;;
ปลาหมึก;Squid;
ยูเอฟซี;UFC;
ต้นสน;;
โค้ก;Coke;
เป๊ปซี่;Pepsi;
คาร์เนชั่น;Carnation;
สปริงเคิล;Sprinkle;
คิว พี;Kewpie;
ลาแลมบลา;La Rambla;
ไฮน์;;
เจด ดราก้อน;;
คิงเฟรทฟาร์ม;King Fresh Farm;
เจริญโภคภัณฑ์;CPF;
